"Genre,""English.title"",""Runtime"",""Producer"",""Cost"",""Kinopoisk.mark"",""Marks.from.kinopoisk"",""IMDb.mark"",""Marks.from.IMDb"""
"фантастика,""Avengers: Age of Ultron"",141,""Джосс Уидон"",""250000000"",7.262,164573,7.40578,578775"
"боевик,""Spectre"",148,""Сэм Мендес"",""245000000"",6.548,78999,6.80334,334355"
"мультфильм,""The Good Dinosaur"",93,""Питер Сон"",""200000000"",7.103,27607,6.7084,84973"
"боевик,""Furious Seven"",137,""Джеймс Ван"",""190000000"",7.026,109798,7.20324,324436"
"фантастика,""Tomorrowland"",130,""Брэд Бёрд"",""190000000"",6.233,57613,6.40157,157903"
"фантастика,""Jupiter Ascending"",127,""Лана Вачовски..."",""176000000"",5.61,69575,5.30158,158289"
"мультфильм,""Inside Out"",95,""Пит Доктер..."",""175000000"",8.005,175984,8.20483,483873"
"фантастика,""The Hunger Games: Mockingjay - Part 2"",137,""Френсис Лоуренс"",""160000000"",6.534,81583,6.50229,229926"
"фантастика,""Terminator Genisys"",126,""Алан Тейлор"",""155000000"",6.486,88591,6.50221,221746"
"боевик,""Mad Max: Fury Road"",120,""Джордж Миллер"",""150000000"",7.813,205450,8.10714,714282"
"боевик,""Mission: Impossible - Rogue Nation"",131,""Кристофер МакКуорри"",""150000000"",7.071,74057,7.40291,291065"
"фантастика,""Jurassic World"",125,""Колин Треворроу"",""150000000"",6.856,117126,7.00509,509499"
"фэнтези,""Pan"",111,""Джо Райт"",""150000000"",6.172,19308,5.8052,52669"
"триллер,""The Revenant"",156,""Алехандро Гонсалес Иньярриту"",""135000000"",7.813,199964,8.00561,561549"
"мультфильм,""Home"",93,""Тим Джонсон"",""135000000"",7.307,48522,6.6083,83854"
"фантастика,""Ant-Man"",117,""Пейтон Рид"",""130000000"",7.089,119129,7.30461,461475"
"фантастика,""Fantastic Four"",100,""Джош Транк"",""120000000"",4.278,43082,4.30132,132594"
"боевик,""San Andreas"",114,""Брэд Пейтон"",""110000000"",6.219,59604,6.10184,184518"
"фантастика,""Insurgent"",119,""Роберт Швентке"",""110000000"",6.08,73463,6.20187,187266"
"фантастика,""The Martian"",144,""Ридли Скотт"",""108000000"",7.675,208874,8.00634,634747"
"боевик,""Point Break"",114,""Эриксон Кор"",""105000000"",6.714,39435,5.3052,52451"
"мультфильм,""In the Heart of the Sea"",122,""Рон Ховард"",""100000000"",7.232,58592,6.90101,101835"
"мультфильм,""The Peanuts Movie"",88,""Стив Мартино"",""99000000"",6.496,3096,7.1037,37051"
"фэнтези,""Cinderella"",105,""Кеннет Брана"",""95000000"",7.085,52026,6.90137,137517"
"фэнтези,""The Last Witch Hunter"",106,""Брек Эйснер"",""90000000"",6.068,47005,6.0082,82681"
"мультфильм,""Alvin and the Chipmunks: The Road Chip"",92,""Уолт Бекер"",""90000000"",5.803,5665,5.1012,12952"
"фантастика,""Pixels"",106,""Крис Коламбус"",""88000000"",5.841,43324,5.60111,111692"
"мультфильм,""Le Petit Prince"",108,""Марк Осборн"",""81200000"",7.915,35317,7.7048,48944"
"боевик,""Kingsman: The Secret Service"",130,""Мэттью Вон"",""81000000"",7.626,196530,7.7052,520558"
"мультфильм,""Hotel Transylvania 2"",89,""Генндий Тартаковский"",""80000000"",7.189,50509,6.7086,86457"
"боевик,""The Man from U.N.C.L.E."",116,""Гай Ричи"",""75000000"",7.544,153507,7.30222,222423"
"мультфильм,""Minions"",91,""Кайл Балда..."",""74000000"",6.19,70313,6.40182,182199"
"мультфильм,""The SpongeBob Movie: Sponge Out of Water"",80,""Пол Тиббит..."",""74000000"",5.525,17296,6.0041,41510"
"триллер,""Blackhat"",133,""Майкл Манн"",""70000000"",5.413,15672,5.4046,46535"
"комедия,""Ted 2"",115,""Сет МакФарлейн"",""68000000"",5.914,52658,6.30148,148048"
"боевик,""Spy"",119,""Пол Фиг"",""65000000"",7.103,100446,7.00205,205736"
"боевик,""Tian jiang xiong shi"",122,""Дэниэл Ли"",""65000000"",6.611,4943,6.1015,15225"
"фантастика,""Maze Runner: The Scorch Trials"",131,""Уэс Болл"",""61000000"",6.14,69897,6.30176,176363"
"драма,""Joy"",124,""Дэвид О. Расселл"",""60000000"",6.672,40295,6.60114,114190"
"боевик,""Mortdecai"",107,""Дэвид Кепп"",""60000000"",5.752,24935,5.5056,56959"
"боевик,""London Has Fallen"",100,""Бабак Наджафи"",""60000000"",5.741,25865,5.90114,114082"
"фэнтези,""Goosebumps"",103,""Роб Леттерман"",""58000000"",6.169,24611,6.3064,64612"
"фэнтези,""Zhuo yao ji"",117,""Раман Хуэй"",""56000000"",6.087,1710,6.103,3922"
"боевик,""Everest"",121,""Бальтасар Кормакур"",""55000000"",7.178,92357,7.10177,177732"
"ужасы,""Crimson Peak"",120,""Гильермо дель Торо"",""55000000"",6.628,79730,6.50111,111748"
"драма,""Black Mass"",123,""Скотт Купер"",""53000000"",6.587,47318,6.90148,148867"
"боевик,""13 Hours"",144,""Майкл Бэй"",""50000000"",6.61,14088,7.309,90554"
"боевик,""Run All Night"",114,""Жауме Кольет-Серра"",""50000000"",6.551,21351,6.6089,89226"
"комедия,""Daddy's Home"",96,""Шон Андерс"",""50000000"",6.328,28591,6.1081,81719"
"фантастика,""Chappie"",120,""Нил Бломкамп"",""49000000"",7.186,114575,6.80208,208518"
